Document number,Triplet,correct triplet,correct entities,correct relation
2,2,1,2,1
41,1,1,2,1
56,1,1,2,1
63,1,1,2,1
63,2,1,2,1
64,1,1,2,1
64,1,0,2,0
72,1,1,2,1
74,1,1,2,1
107,1,1,2,1
107,2,0,2,0
107,4,1,2,1
